EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,EpisodeReturnMean,WinX,EpisodeLengthMean,Tie,WinO,ReturnO,ReturnX
728000,93367,182,15.9986,2950.3075,1.3107,0.0402,7.949,0.9368,0.023,0.6463,0.6643
732000,93872,183,16.2502,2966.5577,1.3079,0.0398,7.931,0.9374,0.0229,0.651,0.657
736000,94374,184,16.2227,2982.7805,1.3257,0.0394,7.949,0.9381,0.0224,0.6488,0.6768
740000,94884,185,16.3026,2999.0831,1.3079,0.0389,7.909,0.9384,0.0227,0.663,0.645
744000,95391,186,16.2015,3015.2846,1.2916,0.0385,7.873,0.9387,0.0228,0.6668,0.6248
748000,95891,187,17.9937,3033.2783,1.3257,0.0378,7.933,0.9397,0.0224,0.6648,0.6608
752000,96399,188,15.9695,3049.2477,1.3216,0.0373,7.932,0.9398,0.0229,0.6738,0.6478
756000,96900,189,15.9258,3065.1735,1.3257,0.0366,7.937,0.9409,0.0225,0.6768,0.6488
760000,97407,190,15.9432,3081.1167,1.3216,0.0362,7.936,0.941,0.0228,0.6658,0.6558
764000,97908,191,15.9122,3097.0288,1.3147,0.0355,7.927,0.9418,0.0227,0.6674,0.6474
768000,98412,192,16.2517,3113.2805,1.327,0.0354,7.951,0.9422,0.0224,0.6545,0.6725
772000,98914,193,16.2954,3129.5759,1.327,0.035,7.953,0.9429,0.0221,0.6465,0.6805
776000,99419,194,15.618,3145.1939,1.327,0.0347,7.949,0.9434,0.0219,0.6545,0.6725
780000,99920,195,16.2865,3161.4804,1.3297,0.0342,7.956,0.9442,0.0217,0.6599,0.6699
784000,100423,196,16.0264,3177.5069,1.3434,0.0338,7.974,0.9449,0.0213,0.6687,0.6747
788000,100924,197,15.9154,3193.4222,1.342,0.0334,7.975,0.9457,0.0209,0.661,0.681
792000,101426,198,15.8424,3209.2646,1.3338,0.0329,7.973,0.9462,0.0209,0.6669,0.6669
796000,101932,199,15.547,3224.8116,1.3161,0.0327,7.932,0.9463,0.021,0.6711,0.6451
800000,102440,200,15.9325,3240.744,1.3093,0.0327,7.888,0.9466,0.0207,0.6426,0.6666
804000,102948,201,15.814,3256.558,1.2929,0.0323,7.867,0.9463,0.0214,0.6525,0.6405
808000,103457,202,15.4974,3272.0554,1.2861,0.0318,7.869,0.9464,0.0218,0.6841,0.6021
812000,103960,203,15.1085,3287.1639,1.3147,0.0313,7.907,0.9469,0.0218,0.6794,0.6354
816000,104462,204,15.232,3302.3958,1.3379,0.0308,7.956,0.9475,0.0217,0.678,0.66
820000,104970,205,15.6007,3317.9966,1.312,0.0312,7.918,0.9474,0.0214,0.638,0.674
824000,105478,206,15.5038,3333.5004,1.2779,0.0311,7.877,0.9471,0.0218,0.626,0.652
828000,105982,207,15.6742,3349.1745,1.2861,0.0309,7.908,0.9469,0.0222,0.6581,0.6281
832000,106487,208,15.7876,3364.9622,1.3038,0.0305,7.924,0.9472,0.0223,0.6679,0.6359
836000,106988,209,15.6545,3380.6166,1.3284,0.0299,7.949,0.9481,0.022,0.6762,0.6522
840000,107492,210,15.897,3396.5137,1.3284,0.0297,7.965,0.9486,0.0217,0.6642,0.6642
844000,107993,211,16.0424,3412.556,1.3229,0.0294,7.96,0.9492,0.0214,0.6555,0.6675
848000,108497,212,15.8828,3428.4388,1.3325,0.0291,7.958,0.9496,0.0213,0.6632,0.6692
852000,109000,213,15.7805,3444.2194,1.3297,0.0287,7.949,0.9501,0.0211,0.6659,0.6639
856000,109500,214,16.0747,3460.294,1.3461,0.0283,7.978,0.951,0.0207,0.6721,0.6741
860000,110003,215,16.1008,3476.3948,1.3434,0.0278,7.98,0.9514,0.0208,0.6767,0.6667
864000,110504,216,15.9639,3492.3588,1.3352,0.0273,7.962,0.952,0.0207,0.6826,0.6526
868000,111007,217,15.9348,3508.2935,1.3407,0.0269,7.966,0.9526,0.0205,0.6733,0.6673
872000,111507,218,16.2491,3524.5427,1.3407,0.0265,7.981,0.9533,0.0202,0.6633,0.6773
876000,112007,219,16.2635,3540.8062,1.3488,0.0262,7.994,0.954,0.0198,0.6714,0.6774
880000,112517,220,16.3094,3557.1156,1.3107,0.0261,7.917,0.9538,0.0202,0.6663,0.6443
884000,113022,221,16.8551,3573.9707,1.2902,0.0258,7.88,0.9539,0.0203,0.6631,0.6271
888000,113530,222,16.7165,3590.6872,1.2847,0.0261,7.895,0.9534,0.0206,0.6464,0.6384
892000,114037,223,16.5215,3607.2087,1.2752,0.026,7.882,0.9529,0.021,0.6406,0.6346
896000,114547,224,16.1264,3623.3351,1.2902,0.026,7.867,0.9528,0.0211,0.6451,0.6451
900000,115048,225,15.9347,3639.2698,1.3188,0.0257,7.914,0.9534,0.021,0.6544,0.6644
904000,115565,226,15.4254,3654.6952,1.2752,0.0269,7.86,0.9522,0.0209,0.5966,0.6786
908000,116079,227,14.9313,3669.6265,1.2356,0.0278,7.76,0.9515,0.0206,0.5478,0.6878
912000,116585,228,14.5138,3684.1403,1.2847,0.028,7.841,0.9515,0.0205,0.6064,0.6784
916000,117087,229,14.6472,3698.7876,1.327,0.0276,7.939,0.9522,0.0202,0.6585,0.6685
920000,117589,230,14.7288,3713.5164,1.3448,0.0272,7.969,0.9528,0.02,0.6724,0.6724
924000,118090,231,15.3722,3728.8886,1.342,0.0268,7.967,0.9534,0.0198,0.673,0.669
928000,118591,232,15.6662,3744.5549,1.3448,0.0265,7.982,0.954,0.0195,0.6664,0.6784
932000,119097,233,16.1219,3760.6767,1.3257,0.0263,7.944,0.9541,0.0196,0.6628,0.6628
936000,119602,234,16.1665,3776.8432,1.3134,0.0262,7.913,0.9544,0.0194,0.6577,0.6557
940000,120106,235,16.2093,3793.0525,1.3216,0.0263,7.928,0.9546,0.0191,0.6458,0.6758
944000,120610,236,16.5076,3809.56,1.3325,0.0259,7.944,0.9551,0.019,0.6592,0.6732
948000,121116,237,16.6799,3826.24,1.3134,0.0262,7.919,0.955,0.0188,0.6497,0.6637
952000,121622,238,17.2586,3843.4986,1.3011,0.0263,7.901,0.9551,0.0187,0.6306,0.6706
956000,122126,239,16.8622,3860.3608,1.3107,0.0261,7.93,0.9551,0.0188,0.6523,0.6583
960000,122636,240,16.6281,3876.9889,1.2834,0.0264,7.88,0.9544,0.0192,0.6507,0.6327
964000,123150,241,16.7931,3893.7819,1.2575,0.0268,7.801,0.9539,0.0193,0.6167,0.6407
968000,123654,242,16.751,3910.5329,1.2929,0.0267,7.86,0.9541,0.0192,0.6345,0.6585
