EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,WinX,Tie,EpisodeLengthMean,WinO,EpisodeReturnMean
208000,28204,52,16.7007,834.6671,0.2714,0.5957,7.826,0.1329,-0.4449
212000,28709,53,16.1555,850.8226,0.2666,0.6029,7.876,0.1305,-0.4506
216000,29217,54,16.627,867.4496,0.2614,0.6098,7.904,0.1288,-0.4554
220000,29722,55,16.3679,883.8175,0.257,0.6165,7.912,0.1266,-0.4535
224000,30224,56,16.178,899.9955,0.2522,0.6235,7.94,0.1243,-0.4588
228000,30730,57,16.5385,916.534,0.2475,0.6303,7.932,0.1222,-0.4597
232000,31236,58,16.0242,932.5582,0.2431,0.6366,7.908,0.1203,-0.4554
236000,31740,59,16.7797,949.3379,0.2387,0.6432,7.927,0.1181,-0.4592
240000,32242,60,16.3999,965.7378,0.2341,0.6497,7.95,0.1162,-0.464
244000,32745,61,16.8077,982.5455,0.2297,0.656,7.955,0.1143,-0.4645
248000,33248,62,16.6306,999.1761,0.2253,0.6625,7.947,0.1122,-0.465
